fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
51089,US,VA,Henry County,county,,iso1:us#iso2:us-va#fips:51089,,50557,0.066,other,6.8,,0.43,0.54,,,,1,1,1,4,0,,4,11294,250,,,,,,,,,,,,2,,28684,25430,2022-03-15,https://covidactnow.org/us/virginia-va/county/henry_county,0.567,0.503,3,58404,1,,
51091,US,VA,Highland County,county,,iso1:us#iso2:us-va#fips:51091,,2190,,other,19.6,,,,,,,2,4,2,4,4,,4,362,7,,,,,,,,,,,,1,,1353,1265,2022-03-15,https://covidactnow.org/us/virginia-va/county/highland_county,0.618,0.578,0,3106,3,,
51093,US,VA,Isle of Wight County,county,,iso1:us#iso2:us-va#fips:51093,,37109,0.056,other,4.2,,0.59,0.95,,,,1,1,1,4,0,,4,7243,109,,,,,,,,,,,,3,,28976,26184,2022-03-15,https://covidactnow.org/us/virginia-va/county/isle_of_wight_county,0.781,0.706,0,56796,1,,
51095,US,VA,James City County,county,,iso1:us#iso2:us-va#fips:51095,,76523,0.028,other,3.2,,0.43,0.52,,,0.35,1,0,1,4,0,,0,14707,116,,,,184,112,3,,31,11,0,,7,,66594,59828,2022-03-15,https://covidactnow.org/us/virginia-va/county/james_city_county,0.87,0.782,1,133120,1,,
51097,US,VA,King and Queen County,county,,iso1:us#iso2:us-va#fips:51097,,7025,0.074,other,4.1,,0.98,1.17,,,,1,1,1,4,1,,4,1115,11,,,,,,,,,,,,1,,4584,4226,2022-03-15,https://covidactnow.org/us/virginia-va/county/king_and_queen_county,0.653,0.602,0,9151,1,,
51099,US,VA,King George County,county,,iso1:us#iso2:us-va#fips:51099,,26836,0.092,other,5.0,,0.61,0.87,,,,1,1,1,4,0,,4,4976,37,,,,,,,,,,,,4,,19042,17230,2022-03-15,https://covidactnow.org/us/virginia-va/county/king_george_county,0.71,0.642,1,34769,2,,
51101,US,VA,King William County,county,,iso1:us#iso2:us-va#fips:51101,,17148,0.022,other,4.0,,0.58,1.02,,,,1,0,1,4,0,,4,3663,36,,,,,,,,,,,,0,,10814,10010,2022-03-15,https://covidactnow.org/us/virginia-va/county/king_william_county,0.631,0.584,1,21989,1,,
51103,US,VA,Lancaster County,county,,iso1:us#iso2:us-va#fips:51103,,10603,0.01,other,9.8,,0.89,1.08,,,,1,0,1,4,0,,4,1782,31,,,,83,13,0,,,,,,4,,8207,7557,2022-03-15,https://covidactnow.org/us/virginia-va/county/lancaster_county,0.774,0.713,1,17624,2,,
51105,US,VA,Lee County,county,,iso1:us#iso2:us-va#fips:51105,,23423,0.019,other,12.2,,0.43,0.56,,,,2,0,2,4,0,,4,6195,90,,,,2,1,,,,,,,6,,12389,11218,2022-03-15,https://covidactnow.org/us/virginia-va/county/lee_county,0.529,0.479,2,23348,2,,
51107,US,VA,Loudoun County,county,,iso1:us#iso2:us-va#fips:51107,,413538,0.037,other,18.1,,0.98,0.17,,,0.66,2,1,2,4,1,,0,66492,368,,,,275,209,5,,32,21,2,,130,,344443,317082,2022-03-15,https://covidactnow.org/us/virginia-va/county/loudoun_county,0.833,0.767,0,693342,3,,
